,0,1,2,3,4,5
180,4e2ad7e3d22d3f83c8880402,Ramonas Barcelona,4bf58dd8d48988d115951735,Bike Shop,41.38761974356735,2.180507183074951
181,518229e22fc6282e9eb5bad9,Santa Fixie,4bf58dd8d48988d115951735,Bike Shop,41.396304413822996,2.189186811447143
182,50c6013be4b0bde4aafd6297,MesMuntanya,4bf58dd8d48988d115951735,Bike Shop,41.404491,2.160409
183,4e9532d8c2ee9172de9bfce4,Moto Taller Gil,4bf58dd8d48988d115951735,Bike Shop,41.37323396116709,2.158341407775879
184,4cd281a4a60d224be9962fd1,Cicles Pol's,4bf58dd8d48988d115951735,Bike Shop,41.407997861152396,2.1826317166026485
185,4b769f6ff964a5200e552ee3,Probike,4bf58dd8d48988d115951735,Bike Shop,41.389537422830806,2.1444939231437763
186,4f34f0cae5e80a8966f98376,Project bike,4bf58dd8d48988d115951735,Bike Shop,41.4083113328465,2.1729326248168945
187,4d8cd1b7d265236a6ab2e316,JP Bicis,4bf58dd8d48988d115951735,Bike Shop,41.397527790676854,2.1817533691506608
188,4f01f62cc5126f14b96e40f2,Bicicletes,4bf58dd8d48988d115951735,Bike Shop,41.39764605039447,2.181849362574147
189,5260133811d2938c87b5fbc2,BikeCare,4bf58dd8d48988d115951735,Bike Shop,41.39171566583524,2.191339321889692
190,4d055d6566082d43a6b0f68b,C.R.E.A.M,4bf58dd8d48988d115951735,Bike Shop,41.397063,2.176281
191,5245c50311d29c834a6ca0de,Bicious,4bf58dd8d48988d115951735,Bike Shop,41.38076900105203,2.1659268521050845
192,4ff4881be4b024f558d4c406,Motos MareMotos,4bf58dd8d48988d115951735,Bike Shop,41.402286529541016,2.2048399448394775
193,4fcf8713e4b074e70746a4e0,Albert motos,4bf58dd8d48988d115951735,Bike Shop,41.409483383610194,2.166320288108692
194,545e0ffe498ea3c6bbb1e9c2,classic bikes,4bf58dd8d48988d115951735,Bike Shop,41.385121,2.167937
195,4d4304f358e9b1f7d649dfce,Tomas Domingo - The Bike House,4bf58dd8d48988d115951735,Bike Shop,41.38010678890591,2.1583859141051285
196,4f01f62cc5126f14b96e40f2,Bicicletes,4bf58dd8d48988d115951735,Bike Shop,41.39764605039447,2.181849362574147
197,5c93ce06c21cb1002cbe2e9c,Cap Problema,4bf58dd8d48988d115951735,Bike Shop,41.398647,2.168721
198,4c5d4b279b28d13a321b5970,Cruising Barcelona,4bf58dd8d48988d115951735,Bike Shop,41.39793515768404,2.1605253374867117
199,4ea1528202d529c116217ade,Bicimarket,4bf58dd8d48988d115951735,Bike Shop,41.379288130925374,2.159457206726074
200,543cf2a7498e48b8d467dcc9,Ocean Bike Rental,4bf58dd8d48988d115951735,Bike Shop,41.381272520055,2.1828567981719966
201,4c80c55447cc224beab4759f,Budget Bikes,4bf58dd8d48988d115951735,Bike Shop,41.37948133982991,2.173243761062622
202,5a3ce2e32e268011457ba53f,emoveyou,4bf58dd8d48988d115951735,Bike Shop,41.39427621654963,2.1927595138549805
203,4d8cd1b7d265236a6ab2e316,JP Bicis,4bf58dd8d48988d115951735,Bike Shop,41.397527790676854,2.1817533691506608
204,59bd3e4e446ea65ecdc976d1,Bicihub,4bf58dd8d48988d115951735,Bike Shop,41.395769,2.192106
205,4d3b1ae1beb7b1f79935f071,Espaibici,4bf58dd8d48988d115951735,Bike Shop,41.393668,2.170234
206,552654c5498eede4fe13d2c2,tucano,4bf58dd8d48988d115951735,Bike Shop,41.39312,2.174373
207,507c1f14e4b08ed6490f3853,Bicing 280,4bf58dd8d48988d115951735,Bike Shop,41.41399383544922,2.1768367290496826
208,529094a711d252d847842f5e,Monsieur Vélo,4bf58dd8d48988d115951735,Bike Shop,41.41214149169061,2.1638131141662598
209,503a8272e4b022a04bab167d,Bicing 117,4bf58dd8d48988d115951735,Bike Shop,41.39083598168507,2.1968556488819044
210,5a0eff1a12f0a9326307fb76,Velodrom Barcelona,4bf58dd8d48988d115951735,Bike Shop,41.406893,2.146485
211,4f0f2f8ce4b06ab9f9f1664b,Arturo Ribera Ciclisme,4bf58dd8d48988d115951735,Bike Shop,41.41395997308073,2.1799583298105256
212,55380367498e8da7b56960b0,Orbea Campus,4bf58dd8d48988d115951735,Bike Shop,41.389650165498985,2.163571106059238
213,5284aa7b498e2f96873773f8,El Ciclo,4bf58dd8d48988d115951735,Bike Shop,41.37858214919636,2.1774194792047075
214,54f5ff98498e1e3acc81f408,Galvesport,4bf58dd8d48988d115951735,Bike Shop,41.38082161962846,2.154298054195329
