id,dfid,name,type,c_type,latitude,longitude
4d8cd1b7d265236a6ab2e316,42,JP Bicis,4bf58dd8d48988d115951735,Bike Shop,41.397527790676854,2.1817533691506608
5245c50311d29c834a6ca0de,43,Bicious,4bf58dd8d48988d115951735,Bike Shop,41.38076900105203,2.1659268521050845
4d791ac19e57a09396a8ce2b,44,Distance,4bf58dd8d48988d115951735,Bike Shop,41.40239908784689,2.1440054318569257
4f01f62cc5126f14b96e40f2,45,Bicicletes,4bf58dd8d48988d115951735,Bike Shop,41.39764605039447,2.181849362574147
5260133811d2938c87b5fbc2,46,BikeCare,4bf58dd8d48988d115951735,Bike Shop,41.39171566583524,2.191339321889692
4f34f0cae5e80a8966f98376,47,Project bike,4bf58dd8d48988d115951735,Bike Shop,41.4083113328465,2.1729326248168945
4d4304f358e9b1f7d649dfce,48,Tomas Domingo - The Bike House,4bf58dd8d48988d115951735,Bike Shop,41.380106788905906,2.1583859141051285
51965145498ec365d83b8bd3,81,Biking Point,4bf58dd8d48988d115951735,Bike Shop,41.415683787348094,2.1870141102823784
4fcf8713e4b074e70746a4e0,95,Albert motos,4bf58dd8d48988d115951735,Bike Shop,41.40948338361019,2.166320288108692
5579809c498e69ecb3a9c554,102,Bikes & Rentals BCN,4bf58dd8d48988d115951735,Bike Shop,41.38814190719607,2.1761813015331795
4f5f867ae4b0df99543c57ae,109,Biking Point,4bf58dd8d48988d115951735,Bike Shop,41.389536094841816,2.155031961192646
5059e86de4b052ecdae66464,119,Bikeit,4bf58dd8d48988d115951735,Bike Shop,41.384225419099,2.1560728825136986
59d8c8ce51950e66226a1e15,120,Biciclick,4bf58dd8d48988d115951735,Bike Shop,41.383236,2.1554801
4db5c34bcda1c57c8275c2b4,128,Budget Bikes Rental & Tours Rambla,4e4c9077bd41f78e849722f9,Bike Rental / Bike Share,41.37948133982989,2.1732759475708012
4d9ca6aa3a8060fc146a526b,136,La Bicicleteria,4bf58dd8d48988d115951735,Bike Shop,41.38052589755622,2.1658548824766477
4ff4881be4b024f558d4c406,144,Motos MareMotos,4bf58dd8d48988d115951735,Bike Shop,41.402286529541016,2.204839944839477
